ID,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Education_Int,Marital_Status_Int,Children,MntTotalSpent,Age,NumTotalPurchases,Seniority
1331,35790.0,54,12,6,20,30,1,3,2,0,3,7,0,2,0,1,72,46,5,2
2225,82582.0,54,510,120,550,156,40,241,4,9,7,1,0,2,3,0,1617,46,20,1
9381,66373.0,57,328,9,124,12,24,109,4,2,10,3,0,2,2,2,606,45,16,2
6260,82384.0,55,984,51,432,180,120,190,3,10,13,1,0,3,1,0,1957,68,26,3
10383,70287.0,30,295,35,482,121,120,40,5,5,10,3,0,2,3,0,1093,57,20,2
7437,27938.0,31,13,0,8,2,1,5,1,0,4,3,0,2,0,1,29,35,5,1
8557,,57,11,3,22,2,2,6,2,0,3,6,0,2,0,1,46,41,5,2
8375,55954.0,63,447,0,28,0,0,43,8,2,6,7,0,4,2,1,518,55,16,1
6853,75777.0,12,712,26,538,69,13,80,3,6,11,1,0,3,0,0,1438,41,20,2
3076,66653.0,18,452,18,102,16,18,6,4,2,12,3,0,2,1,2,612,48,18,3
1012,61823.0,26,523,7,134,37,14,169,8,2,10,7,0,2,0,1,884,71,20,2
6518,67680.0,8,546,0,48,0,6,6,7,3,8,5,0,4,4,1,606,72,18,2
4137,70666.0,29,398,40,367,119,122,30,7,4,4,4,0,2,1,0,1076,75,15,2
8082,25721.0,75,1,3,6,3,6,15,1,1,2,7,0,2,2,1,34,52,4,2
1386,32474.0,0,10,0,1,0,0,0,1,0,2,7,0,2,1,2,11,56,3,1
9369,88194.0,19,688,14,309,201,24,38,11,10,10,5,0,1,0,1,1274,44,31,1
4477,69096.0,4,247,49,159,7,82,109,5,2,10,4,0,2,1,1,653,65,17,2
1357,74854.0,90,856,59,487,58,29,73,2,5,5,5,0,2,1,3,1562,53,12,2
1402,66991.0,1,496,36,460,189,60,12,4,8,6,3,0,3,2,0,1253,69,18,3
10629,,25,25,3,43,17,4,17,3,0,3,8,0,1,2,1,109,50,6,3
6312,65031.0,29,258,107,291,84,37,86,10,3,13,7,0,2,2,1,863,64,26,2
8132,60631.0,88,565,6,65,0,6,19,9,2,8,7,0,4,2,2,661,48,19,2
1050,28332.0,58,14,10,13,4,15,9,2,1,4,2,0,2,2,0,65,71,7,1
5846,40246.0,68,2,1,6,2,1,1,1,0,2,6,0,2,3,1,13,46,3,3
1859,75251.0,34,721,111,925,97,18,18,7,6,5,5,0,3,2,0,1890,51,18,3
7503,75825.0,40,1032,105,779,137,105,51,5,8,9,4,0,2,0,0,2209,47,22,3
10401,26326.0,12,1,0,5,0,3,9,0,0,3,3,1,1,1,0,18,47,3,2
1618,56046.0,9,577,0,64,0,0,51,10,1,8,8,0,2,1,0,692,58,19,2
3332,29760.0,87,64,4,68,7,5,17,3,1,4,8,0,2,0,1,165,38,8,3
2261,26304.0,5,4,1,5,2,0,4,1,0,2,7,0,2,2,1,16,54,3,2
5346,23559.0,87,25,5,19,7,0,23,3,0,3,7,0,1,2,1,79,50,6,2
4119,38620.0,56,112,17,44,34,22,89,2,5,3,3,0,3,1,0,318,60,10,2
535,81361.0,18,163,23,424,27,65,76,3,10,13,1,0,2,3,0,778,36,26,1
5268,29440.0,95,17,8,14,10,4,3,1,0,4,7,0,2,2,2,56,63,5,2
273,36138.0,48,130,0,16,0,0,5,3,1,4,7,0,3,2,2,151,53,8,2
4452,50388.0,3,292,6,37,0,3,34,6,1,6,7,0,2,0,1,372,66,13,1
8504,79593.0,70,350,60,568,110,133,145,5,6,7,2,0,2,2,0,1366,50,18,1
771,54178.0,79,135,9,39,4,0,7,2,2,5,2,0,2,1,1,194,56,9,1
8996,,4,230,42,192,49,37,53,7,2,8,9,0,4,2,3,603,66,17,3
9235,,45,7,0,8,2,0,1,1,0,2,7,0,2,0,2,18,66,3,1
5798,,87,445,37,359,98,28,18,2,4,8,1,0,3,1,0,985,50,14,2
11178,42394.0,69,15,2,10,0,1,4,1,0,3,7,0,3,0,1,32,51,4,1
2230,23626.0,84,27,2,14,0,0,0,3,1,3,5,0,4,2,1,43,53,7,1
7516,30096.0,30,5,3,11,12,5,9,2,0,3,6,0,2,2,1,45,40,5,1
7247,47916.0,72,505,0,26,0,0,75,7,4,6,6,0,2,4,1,606,63,17,3
11100,51813.0,37,51,2,7,0,1,2,2,0,3,7,0,2,3,2,63,51,5,2
4646,78497.0,44,207,26,447,75,0,223,5,7,12,2,0,1,2,0,978,72,24,2
3037,50150.0,32,135,46,92,65,61,11,5,2,7,5,0,4,2,0,410,40,14,2
1473,47823.0,0,53,1,5,2,1,10,2,0,3,8,0,1,0,1,72,63,5,2
1016,34554.0,43,41,1,6,2,0,5,2,0,3,6,0,4,0,1,55,64,5,1
4518,85693.0,59,386,172,183,185,132,111,9,5,11,5,0,2,1,1,1169,44,25,2
9370,65846.0,68,562,81,276,80,40,81,6,3,6,4,0,4,2,0,1120,78,15,2
8908,87195.0,35,217,76,690,50,26,38,3,11,5,1,0,2,2,0,1097,64,19,1
8373,24594.0,94,1,3,6,10,0,9,1,0,3,5,0,0,1,1,29,44,4,2
7533,49096.0,15,144,1,32,2,1,7,4,1,4,7,0,2,2,2,187,59,9,2
2683,52413.0,56,295,106,271,75,98,65,6,4,12,6,0,2,2,2,910,54,22,2
3629,38557.0,17,76,3,31,4,4,27,3,1,3,7,0,2,0,1,145,45,7,3
10991,89058.0,18,454,194,106,31,22,43,5,4,4,2,0,3,2,0,850,63,13,3
5077,77298.0,46,425,115,292,23,35,79,6,6,11,3,0,2,1,1,969,44,23,2
7431,68126.0,40,1332,17,311,23,51,86,7,4,5,9,0,4,0,0,1820,32,16,3
3267,57288.0,27,527,0,21,0,0,60,8,1,8,6,0,3,1,1,608,60,17,1
999,86037.0,95,490,44,125,29,20,22,6,7,11,3,0,2,0,0,730,32,24,2
9215,43974.0,19,378,0,101,0,0,72,6,4,6,7,0,4,2,1,551,43,16,3
2286,50785.0,27,64,1,21,0,1,27,2,1,3,6,0,2,0,2,114,61,6,2
1592,90765.0,25,547,99,812,151,82,33,4,6,5,1,0,2,2,0,1724,53,15,1
367,36550.0,74,47,90,94,123,103,120,9,1,5,9,0,1,2,1,577,45,15,2
5234,30753.0,85,12,5,25,0,9,30,1,1,3,5,0,1,1,2,81,56,5,2
9862,21918.0,37,1,6,7,11,5,3,2,0,3,6,0,2,1,1,33,54,5,2
9805,56129.0,65,320,48,133,39,72,48,6,2,10,4,0,3,1,1,660,70,18,2
6205,32557.0,13,34,3,29,0,4,10,2,1,3,5,0,3,0,1,80,56,6,1
8442,19510.0,63,9,0,7,3,4,7,1,0,3,7,0,3,2,2,30,38,4,2
7386,30992.0,83,17,0,14,7,3,2,1,0,3,7,0,2,3,1,43,47,4,2
7215,101970.0,69,722,27,102,44,72,168,6,8,13,2,0,2,0,0,1135,40,27,2
1491,71488.0,87,162,33,124,40,28,172,3,4,7,1,0,1,1,0,559,58,14,2
11071,79607.0,37,450,133,951,173,0,216,3,6,6,1,0,2,0,0,1923,39,15,2
3381,54348.0,51,70,0,16,0,0,4,2,0,4,6,0,3,2,2,90,70,6,1
8268,,23,352,0,27,10,0,15,6,1,7,6,0,4,2,1,404,62,14,2
11051,77376.0,72,492,19,110,16,12,12,6,3,10,4,0,4,1,2,661,67,19,1
8026,62998.0,10,120,58,73,65,89,58,5,4,5,5,0,2,2,1,463,71,14,2
433,61331.0,42,534,5,47,0,5,41,11,1,6,8,0,3,0,2,632,65,18,2
9597,73448.0,10,236,106,189,23,41,130,7,2,9,4,0,2,2,0,725,54,18,1
1295,,96,231,65,196,38,71,124,6,5,7,4,0,2,2,1,725,60,18,2
5290,41551.0,51,220,0,33,3,0,23,5,1,5,8,0,4,2,2,279,59,11,2
1685,62981.0,21,796,14,590,38,44,0,4,5,13,3,0,4,1,0,1482,56,22,2
5342,9548.0,31,0,1,3,10,6,9,1,0,3,8,0,0,3,1,29,47,4,3
9579,33762.0,61,53,1,34,2,0,16,2,2,2,8,0,4,2,3,106,64,6,2
7660,35860.0,37,15,0,8,4,2,20,1,1,2,5,0,4,0,2,49,50,4,1
1461,36921.0,74,17,1,12,3,1,4,2,0,3,7,0,4,3,2,38,58,5,2
821,92859.0,46,962,61,921,52,61,20,5,4,12,2,0,3,0,0,2077,31,21,3
11084,65104.0,4,738,0,232,13,20,50,3,5,7,7,0,3,1,1,1053,47,15,2
8690,86111.0,73,399,28,756,36,40,126,5,7,10,2,0,2,2,0,1385,61,22,2
2937,68352.0,47,614,16,132,43,33,33,8,5,9,6,0,4,0,1,871,49,22,2
9701,41883.0,13,32,34,41,73,16,116,4,2,3,7,0,2,1,1,312,35,9,2
9949,59809.0,36,598,16,141,32,41,49,3,3,6,8,0,2,2,2,877,47,12,3
10837,23957.0,47,2,1,18,20,11,16,2,0,3,6,0,2,2,1,68,48,5,3
3120,38547.0,49,6,1,10,0,1,4,1,0,2,8,1,2,1,1,22,42,3,2
5885,35688.0,94,73,3,90,12,1,32,4,1,4,8,0,1,2,3,211,50,9,3
4050,49605.0,65,42,16,29,12,20,8,2,1,4,3,0,3,2,0,127,57,7,1
3830,59354.0,59,295,21,78,39,13,13,4,4,7,3,0,3,2,2,459,70,15,1
7987,65747.0,96,346,17,48,23,13,13,8,1,6,6,0,2,2,1,460,54,15,1
7798,46344.0,28,233,20,57,8,20,91,7,1,5,7,0,1,1,1,429,51,13,3
92,34176.0,12,5,7,24,19,14,20,3,0,4,6,0,2,0,1,89,35,7,1
7055,61010.0,57,888,0,57,0,0,76,8,5,11,5,0,4,1,1,1021,71,24,3
10240,69372.0,10,997,26,269,34,13,42,10,4,6,4,0,2,1,0,1381,74,20,2
3025,49967.0,4,212,6,69,4,12,3,6,1,5,7,0,2,0,1,306,65,12,2
9283,60199.0,49,8,1,7,2,0,0,0,0,3,4,0,2,0,3,18,45,3,2
9970,55375.0,3,42,11,57,10,28,14,1,1,6,2,0,2,1,1,162,46,8,2
2730,80317.0,64,536,11,387,149,91,57,3,4,10,1,0,2,0,0,1231,68,17,2
2795,30523.0,0,5,0,3,0,0,5,1,0,2,7,0,3,0,3,13,65,3,2
9260,70356.0,20,1349,16,249,43,16,33,10,6,9,6,0,4,2,0,1706,78,25,3
8182,23228.0,91,53,3,49,7,4,5,3,0,4,8,0,2,2,1,121,39,7,1
10095,74165.0,9,1001,12,240,16,12,12,5,4,10,2,0,4,3,0,1293,48,19,2
8475,157243.0,98,20,2,1582,1,2,1,0,22,0,0,0,4,2,1,1608,50,22,1
4370,43482.0,83,18,1,32,6,3,28,2,0,4,6,0,2,1,3,88,57,6,2
10573,62551.0,27,125,16,98,134,21,27,6,7,4,3,0,2,3,0,421,70,17,2
3712,52332.0,63,212,5,33,7,0,2,3,2,6,4,0,2,3,0,259,64,11,2
6637,66951.0,46,277,162,305,173,76,124,3,4,7,1,0,2,0,0,1117,35,14,2
3152,26091.0,84,15,10,19,8,17,20,2,1,3,5,0,2,1,2,89,66,6,1
5610,33456.0,58,7,3,10,8,1,7,1,0,3,7,0,2,1,2,36,58,4,1
6460,28718.0,78,12,4,6,11,8,16,2,0,3,8,0,2,2,1,57,41,5,2
1349,50447.0,4,85,7,24,2,3,27,3,1,3,6,0,2,2,2,148,53,7,1
1880,53537.0,17,81,0,6,0,0,6,2,1,3,5,0,4,1,2,93,64,6,1
641,52074.0,77,59,0,12,0,0,48,2,2,2,4,0,2,0,1,119,56,6,1
8717,80427.0,56,1149,71,449,69,71,26,11,8,8,5,0,4,2,1,1835,48,27,3
10314,83837.0,79,847,66,119,86,89,111,9,10,5,4,0,4,2,0,1318,75,24,3
10854,38853.0,90,29,0,14,0,0,2,2,0,3,7,0,4,2,2,45,53,5,1
10492,38285.0,96,2,0,5,2,0,1,0,0,3,2,0,2,1,3,10,64,3,1
6935,78497.0,44,207,26,447,75,0,223,5,7,12,2,0,1,2,0,978,72,24,2
7698,51650.0,81,152,3,22,2,5,7,4,1,4,5,0,4,2,1,191,47,9,1
3559,16248.0,77,12,11,10,3,12,9,2,1,3,6,0,1,2,1,57,35,6,1
10562,66835.0,21,620,26,195,34,17,141,6,4,13,2,0,3,2,0,1033,77,23,2
10796,30477.0,16,47,1,6,0,0,12,1,1,3,6,0,3,2,1,66,39,5,1
2563,28249.0,80,1,9,7,2,14,10,2,0,3,6,0,0,2,0,43,62,5,1
3518,25271.0,45,10,1,18,10,4,7,1,1,2,9,0,2,2,1,50,40,4,3
5823,32303.0,63,35,0,2,0,0,2,1,0,4,5,0,4,0,1,39,53,5,1
3934,61286.0,34,356,0,107,19,9,117,7,1,8,5,0,2,2,1,608,57,16,2
6982,74068.0,14,783,30,537,140,76,15,4,10,9,2,0,2,2,0,1581,47,23,2
6431,45759.0,13,42,1,18,3,0,4,2,0,3,7,0,4,2,2,68,59,5,2
9733,24882.0,52,1,4,10,29,0,36,1,1,2,6,0,0,1,1,80,45,4,3
5602,66973.0,98,466,22,432,147,113,102,8,7,12,3,0,4,1,0,1282,34,27,2
7829,36640.0,99,15,6,8,7,4,25,2,1,2,5,1,1,3,1,65,123,5,2
1324,38872.0,93,23,3,21,3,19,22,3,0,3,8,0,2,2,1,91,35,6,2
326,51148.0,38,235,6,45,8,9,12,5,1,6,6,0,2,2,2,315,50,12,2
7224,31353.0,24,10,0,10,3,1,7,1,1,2,8,0,2,2,2,31,46,4,2
6999,69661.0,80,656,16,106,32,16,8,7,3,12,3,0,3,2,0,834,43,22,1
9938,80067.0,82,519,17,813,27,173,51,4,6,6,2,0,2,2,0,1600,69,16,2
6422,86718.0,20,344,189,482,50,33,172,5,6,5,2,0,2,2,0,1270,69,16,2
3182,46854.0,81,96,1,79,7,1,79,5,1,3,8,0,4,0,2,263,50,9,1
7300,69142.0,50,448,4,34,6,4,39,8,1,7,5,0,2,3,1,535,71,16,1
10424,75922.0,60,265,138,553,224,23,92,4,4,9,1,0,2,0,0,1295,55,17,2
8727,63693.0,63,587,43,337,42,87,54,11,6,9,6,0,2,3,1,1150,45,26,2
2798,102160.0,54,763,29,138,76,176,58,7,9,10,4,0,4,1,0,1240,46,26,3
1030,40637.0,72,22,0,13,0,0,3,1,0,3,7,0,4,0,2,38,58,4,2
624,18890.0,5,6,4,1,7,2,15,0,1,2,6,0,3,0,0,35,39,3,3
5176,29604.0,88,7,6,13,7,6,14,1,0,3,9,0,2,1,1,53,35,4,2
5552,48721.0,50,81,18,113,47,13,21,4,2,5,6,0,3,3,2,293,60,11,2
868,44794.0,99,54,0,7,0,0,4,2,0,3,6,0,2,2,1,65,57,5,1
380,64497.0,17,1170,48,320,42,32,192,11,4,9,8,0,2,3,1,1804,69,24,3
2677,46097.0,11,72,24,68,65,4,8,3,1,6,4,0,2,1,1,241,67,10,2
6521,77972.0,18,613,22,319,33,102,12,4,6,9,1,0,2,1,0,1101,69,19,1
6927,44377.0,70,224,0,30,0,0,10,5,1,5,8,0,4,2,2,264,55,11,3
2877,46014.0,21,410,0,59,19,9,44,7,1,8,7,0,3,1,2,541,49,16,2
0,70951.0,66,239,10,554,254,87,54,3,4,9,1,0,2,2,0,1198,38,16,2
1584,41443.0,79,171,7,171,25,19,89,8,1,5,8,0,2,2,1,482,46,14,1
7264,52195.0,2,12,0,4,0,0,1,1,0,2,8,0,1,0,3,17,45,3,1
6274,83790.0,81,1076,16,417,42,48,16,8,10,6,3,0,3,2,0,1615,75,24,2
1377,44551.0,24,182,4,33,0,0,66,4,1,5,7,0,3,4,1,285,69,10,2
454,69508.0,48,824,32,162,42,32,43,11,4,11,6,0,2,1,1,1135,43,26,3
1755,45204.0,93,30,11,25,29,1,18,1,1,4,3,0,1,1,1,114,35,6,1
2075,72460.0,56,377,10,540,80,30,10,3,5,7,1,0,2,2,0,1047,54,15,2
4785,77622.0,3,520,7,154,19,0,14,6,3,11,3,0,4,1,2,714,53,20,1
9076,30732.0,44,155,1,25,0,1,3,4,1,4,8,0,4,2,1,185,43,9,2
7079,63887.0,38,897,23,207,15,11,92,9,6,12,6,0,2,3,1,1245,61,27,3
4653,42011.0,46,131,0,16,2,1,39,3,1,4,8,0,2,1,1,189,45,8,2
7375,51369.0,84,297,7,79,0,11,182,8,2,4,8,0,2,1,1,576,47,14,3
709,51537.0,27,787,20,204,0,0,92,2,2,11,8,0,2,3,1,1103,71,15,3
460,79930.0,72,792,86,740,67,51,17,3,5,8,2,0,4,2,0,1753,51,16,3
3726,34320.0,66,4,1,9,3,0,0,1,0,2,8,0,4,1,1,17,37,3,1
6798,37070.0,30,231,7,137,4,15,39,5,1,8,7,0,2,0,2,433,57,14,2
5341,81975.0,2,983,76,184,180,138,27,6,3,4,7,0,1,3,1,1588,61,13,2
1606,38590.0,65,3,1,8,4,3,3,1,0,2,8,0,2,1,1,22,52,3,2
9617,15033.0,37,0,4,5,6,0,4,1,0,3,3,0,2,0,0,19,72,4,1
3233,62745.0,89,562,21,464,28,10,32,7,8,11,5,0,4,2,1,1117,58,26,2
89,22212.0,49,5,9,20,6,8,21,2,0,4,6,0,1,2,1,69,48,6,2
2936,23661.0,46,18,0,4,0,0,1,1,0,3,7,0,3,1,1,23,41,4,2
9449,79761.0,32,415,5,124,15,35,11,5,2,11,3,0,4,0,1,605,65,18,2
7297,7500.0,54,5,3,10,12,7,20,3,1,3,7,0,2,0,1,57,50,7,2
11004,60182.0,23,8,0,5,7,0,2,1,0,2,4,0,1,0,1,22,130,3,1
313,73455.0,98,901,61,757,186,163,20,6,5,10,3,0,2,4,0,2088,55,21,2
9940,64961.0,97,382,114,276,75,124,38,6,4,4,3,0,2,1,1,1009,65,14,3
10735,22804.0,75,14,1,7,2,1,1,2,0,2,9,0,2,0,1,26,52,4,2
9529,73687.0,8,559,153,503,218,13,181,3,9,9,2,0,2,2,0,1627,33,21,2
6439,61074.0,37,789,0,133,0,28,152,11,5,8,7,0,2,2,1,1102,65,24,3
7411,31686.0,31,11,0,5,0,0,1,1,0,3,6,0,4,2,2,17,59,4,1
2176,80134.0,40,1218,16,272,104,0,80,5,3,6,6,0,2,2,1,1690,51,14,2
9265,75027.0,74,925,64,179,133,12,77,9,4,6,5,0,2,2,1,1390,70,19,2
8867,67546.0,90,864,134,768,150,38,172,4,10,5,3,0,4,2,0,2126,35,19,3
8932,65176.0,57,960,28,183,220,70,70,9,6,6,6,0,3,1,1,1531,54,21,3
10236,31160.0,59,16,3,25,6,1,13,2,0,3,8,0,3,0,1,64,48,5,2
6340,29938.0,52,3,3,7,0,2,11,1,0,3,6,0,2,0,1,26,38,4,2
10089,102692.0,5,168,148,444,32,172,148,6,9,13,2,0,2,3,0,1112,49,28,2
2227,26490.0,92,45,47,52,21,20,25,3,1,5,6,0,1,1,0,210,65,9,3
10992,75702.0,77,650,28,353,45,42,30,4,6,11,8,0,2,1,2,1148,56,21,3
5304,30899.0,35,24,0,8,0,0,1,1,0,3,6,0,4,0,1,33,49,4,3
309,63342.0,48,918,21,118,13,10,21,8,3,5,6,0,4,1,1,1101,62,16,3
3406,45989.0,97,138,33,87,28,24,12,3,2,7,3,0,2,0,1,322,59,12,3
2661,18701.0,95,12,4,2,10,6,10,2,0,4,5,0,2,0,2,44,59,6,2
3153,40737.0,24,11,0,4,0,0,2,1,0,2,8,0,4,0,3,17,66,3,2
10264,15287.0,60,1,2,8,4,3,13,1,1,2,7,0,2,3,1,31,44,4,3
1184,69674.0,46,554,41,215,11,0,24,10,2,10,5,0,4,3,2,845,55,22,2
4200,44159.0,85,167,2,62,24,13,7,4,1,6,5,0,3,2,1,275,53,11,1
9396,37717.0,31,9,0,6,4,1,5,1,0,2,9,0,4,2,1,25,45,3,3
2387,43776.0,9,177,2,71,3,2,20,5,2,4,8,0,3,1,2,275,71,11,2
6690,38179.0,30,38,4,22,4,2,20,3,1,3,7,0,3,2,2,90,57,7,2
1225,80124.0,47,483,84,398,205,84,241,3,7,8,1,0,2,2,0,1495,60,18,1
9703,38097.0,70,77,2,35,0,1,69,3,2,2,7,0,4,2,2,184,53,7,3
291,72940.0,13,182,74,298,162,149,116,3,3,6,1,0,2,2,0,981,53,12,2
4557,22070.0,11,10,7,19,8,2,21,2,2,2,6,0,2,1,1,67,53,6,2
2379,69267.0,31,778,44,499,95,73,146,3,4,5,7,0,2,0,0,1635,70,12,3
5726,31788.0,15,16,7,23,0,8,6,3,0,4,5,1,3,0,1,60,40,7,1
3066,61905.0,2,167,0,43,6,2,13,4,2,4,5,0,4,1,1,231,48,10,1
6336,29315.0,55,13,2,14,8,7,4,2,0,4,6,0,2,2,2,48,63,6,1
10967,33378.0,38,33,6,40,3,7,10,2,0,4,7,0,2,3,2,99,60,6,2
2304,66313.0,86,625,7,99,10,22,7,6,3,12,4,0,4,1,1,770,60,21,2
3445,60714.0,56,216,162,224,101,92,162,7,4,10,5,0,2,0,0,957,67,21,2
7828,77882.0,29,68,129,396,188,22,15,3,3,5,1,0,3,1,0,818,42,11,1
3762,69867.0,30,196,0,512,33,130,54,3,5,8,1,0,4,0,0,925,37,16,2
4391,63841.0,64,635,15,100,20,7,131,9,3,9,6,0,3,3,1,908,55,21,2
4669,24480.0,46,4,19,9,28,25,17,3,0,4,7,0,0,2,1,102,42,7,2
10144,51369.0,84,297,7,79,0,11,182,8,2,4,8,0,2,1,1,576,47,14,3
8652,37760.0,20,84,5,38,150,12,28,4,1,6,7,0,2,1,0,317,77,11,3
1672,65640.0,74,204,7,149,20,15,66,5,1,8,2,0,4,1,1,461,49,14,1
8962,44319.0,18,26,0,8,0,0,3,2,0,3,5,0,3,2,2,37,48,5,1
9974,30631.0,75,15,6,20,4,5,20,3,1,2,7,0,2,2,1,70,49,6,2
10983,75278.0,17,304,98,230,150,74,74,6,3,13,3,0,2,1,0,930,71,22,2
8148,50898.0,88,285,28,242,55,114,135,6,2,12,5,0,3,1,2,859,67,20,2
10102,79946.0,19,395,183,565,166,141,28,5,11,5,3,0,2,4,0,1478,57,21,1
4697,35416.0,62,248,3,81,4,3,51,7,1,5,8,0,3,3,0,390,74,13,2
9262,32414.0,11,20,6,5,0,9,12,1,0,3,7,0,1,1,0,52,39,4,2
7254,38361.0,74,39,0,56,20,8,14,3,1,3,7,0,2,1,1,137,54,7,2
4543,82497.0,32,777,129,573,216,21,203,2,7,9,4,0,2,2,0,1919,43,18,3
4927,16626.0,76,8,3,22,21,1,13,3,0,3,9,0,2,1,2,68,52,6,1
10451,29672.0,6,9,1,3,0,4,8,0,0,3,6,0,2,1,2,25,58,3,2
2926,55951.0,62,1241,0,80,0,13,40,3,6,11,8,0,3,1,1,1374,71,20,3
2874,35388.0,20,6,4,7,4,3,8,1,0,3,7,0,1,3,1,32,35,4,2
